frame,timestamp_sec,emotion,angry,disgust,fear,happy,sad,surprise,neutral
0,0.0,sad,2.3094301223754883,0.005079246591776609,34.42109680175781,0.38450896739959717,46.78655242919922,1.2482092870413908e-07,16.093332290649414
5,0.21055291194677223,fear,7.6076483726501465,0.017497746273875237,45.39897918701172,3.2315447330474854,34.05543518066406,1.7757275827534613e-07,9.68889331817627
10,0.42110582389354445,angry,60.971927642822266,0.004462988581508398,9.743796348571777,3.8739781379699707,13.908089637756348,1.7111284478232847e-06,11.497739791870117
15,0.6316587358403166,angry,81.37647247314453,0.002408633241429925,2.4222724437713623,6.635949611663818,2.4037857055664062,3.157899527650443e-06,7.159110069274902
20,0.8422116477870889,angry,47.878536224365234,0.014793207868933678,7.578591346740723,4.08192253112793,20.466310501098633,1.6466376109747216e-05,19.979825973510742
25,1.052764559733861,sad,27.915325164794922,0.024655606597661972,7.635935306549072,7.8680195808410645,34.446041107177734,1.2713508112938143e-05,22.110008239746094
30,1.2633174716806332,happy,2.0591890811920166,0.04291989281773567,3.1637120246887207,85.93354034423828,8.27331256866455,5.359243573366257e-07,0.5273206830024719
35,1.4738703836274056,happy,0.017191093415021896,0.00010222714627161622,0.02565249614417553,99.84574127197266,0.11124514788389206,4.185845892124007e-09,6.184296944411471e-05
40,1.6844232955741778,happy,0.0008539067348465323,6.516650500998367e-06,0.0009908165084198117,99.98527526855469,0.012862100265920162,1.3185219582823038e-10,6.38050960333203e-06
45,1.89497620752095,happy,0.013548455201089382,9.376281923323404e-06,4.5423945266520604e-05,99.98603820800781,9.090504318010062e-05,4.527272168264318e-10,0.00027710001450031996
50,2.105529119467722,happy,5.540769100189209,0.0010797485010698438,0.02056117169559002,94.42164611816406,0.002115577692165971,8.462927070240767e-08,0.013820555992424488
55,2.3160820314144943,angry,98.08917999267578,6.767862032575067e-06,0.017059825360774994,0.7791247963905334,0.018177155405282974,1.3697478607355151e-05,1.096439242362976
60,2.5266349433612665,neutral,0.28721097111701965,2.5554605599609204e-05,0.04522860050201416,0.014504204504191875,0.00153350830078125,0.01752476952970028,99.63396453857422
65,2.737187855308039,neutral,0.006419401150196791,3.405691677471623e-05,0.7205158472061157,0.07422522455453873,0.0007220979314297438,0.41606611013412476,98.78201293945312
70,2.9477407672548113,neutral,0.06878688186407089,0.00015790591714903712,2.8742380142211914,0.02012222819030285,0.0004961445811204612,1.0946470499038696,95.9415512084961
75,3.1582936792015834,neutral,0.06590604037046432,0.00015192991122603416,2.5610485076904297,0.019190289080142975,0.000500752532389015,0.9516222476959229,96.40158081054688
80,3.3688465911483556,neutral,0.3599872589111328,0.03473063185811043,7.57546854019165,0.06808629631996155,0.1403862088918686,0.4516759514808655,91.36966705322266
85,3.5793995030951278,neutral,0.16374541819095612,0.07123953849077225,5.561470031738281,18.083032608032227,5.190742015838623,0.09136305004358292,70.83840942382812
90,3.7899524150419,neutral,0.38715818524360657,0.011367340572178364,1.151406168937683,5.554174423217773,9.385250091552734,0.002053879899904132,83.50859069824219
95,4.000505326988672,neutral,0.2402595728635788,4.839542452828027e-05,0.25567427277565,5.004180431365967,4.884481430053711,0.000586901674978435,89.6147689819336
100,4.211058238935444,neutral,0.12553708255290985,1.5725750927231275e-05,0.3860693871974945,1.0900087356567383,9.31289291381836,0.0002286343660671264,89.08524322509766
105,4.4216111508822165,sad,0.026728620752692223,0.024291470646858215,0.2366621494293213,1.3219064474105835,95.56523132324219,0.0001423081266693771,2.8250434398651123
110,4.632164062828989,sad,1.0434455871582031,0.2986600995063782,1.7101274728775024,0.00863843597471714,96.32112884521484,0.0017153689404949546,0.6162876486778259
115,4.842716974775761,sad,3.3475260734558105,0.061617784202098846,3.5360023975372314,0.06283605098724365,86.5439453125,0.02755054086446762,6.420528888702393
120,5.053269886722533,sad,7.98948860168457,0.11349070072174072,11.332636833190918,0.08254683017730713,70.77007293701172,0.23293432593345642,9.478830337524414
125,5.263822798669306,sad,13.818937301635742,0.6386132836341858,10.708681106567383,0.0840240940451622,63.84640884399414,0.4580383896827698,10.445297241210938
130,5.474375710616078,neutral,2.830552101135254,0.0006029501091688871,1.243340015411377,0.09674875438213348,7.373129367828369,0.027054492384195328,88.4285659790039
135,5.68492862256285,fear,29.414552688598633,0.03152376785874367,33.660709381103516,0.028335927054286003,12.754534721374512,1.0842169523239136,23.0261287689209
140,5.8954815345096225,fear,18.06138801574707,0.6901586055755615,55.46646499633789,0.20962408185005188,2.9427754878997803,21.373125076293945,1.2564570903778076
145,6.106034446456395,surprise,0.004183231852948666,2.0578806925186655e-06,3.4233007431030273,0.011367321014404297,9.705391858005896e-05,96.56102752685547,2.7844014766742475e-05
150,6.316587358403167,surprise,0.0017818346386775374,4.183356395515148e-06,2.3302597999572754,0.002518237801268697,1.2409671398927458e-05,97.66542053222656,7.1888957791088615e-06
155,6.527140270349939,surprise,0.0009542200132273138,3.3359792723786086e-06,1.442626953125,0.0006788783357478678,9.876669537334237e-06,98.55572509765625,2.4082571599137736e-06
160,6.737693182296711,surprise,0.37924739718437195,7.589222406068075e-08,4.982363224029541,0.0003600690688472241,0.014950639568269253,94.62239074707031,0.0006872769445180893
165,6.948246094243483,fear,0.8697717189788818,2.2648916162687494e-12,96.25646209716797,2.9091231112943206e-07,3.9153663237812e-05,2.8737361431121826,1.0825493035326872e-07
170,7.1587990061902556,angry,83.62193298339844,1.64923767442815e-05,6.299279689788818,0.007302550133317709,0.0121766934171319,10.042520523071289,0.0167661365121603
175,7.369351918137028,fear,0.9881112575531006,2.904863460884144e-09,98.75177764892578,0.023071913048624992,9.292594995713443e-07,0.23704130947589874,1.5090736269485205e-06
180,7.5799048300838,fear,0.039282459765672684,1.3417705980645523e-15,99.9607162475586,2.0438491787899693e-08,2.610012249729121e-12,3.687852467848529e-09,2.6445950447308254e-15
185,7.790457742030572,sad,13.903125762939453,0.02815992571413517,24.202739715576172,0.0950542613863945,46.423912048339844,0.2861557900905609,15.060853958129883
190,8.001010653977344,neutral,8.02664852142334,0.00103805644903332,4.371557712554932,0.0055119008757174015,22.87950325012207,0.00521913031116128,64.71051788330078
195,8.211563565924116,sad,1.4816856384277344,5.406476338976063e-05,1.5942493677139282,0.00029075564816594124,55.6422004699707,0.004590881522744894,41.27693176269531
200,8.422116477870889,sad,3.8956046104431152,2.9479582735802978e-05,21.2911434173584,0.001204627682454884,68.18436431884766,0.004114076495170593,6.623540878295898
205,8.63266938981766,neutral,1.7460124492645264,0.00023157733085099608,1.6194881200790405,1.1851876974105835,6.05331563949585,0.00269005517475307,89.39307403564453
210,8.843222301764433,neutral,0.14405040442943573,4.699074452219065e-06,7.60960578918457,0.3217344284057617,3.0486440658569336,0.0100267818197608,88.86592864990234
215,9.053775213711205,sad,1.201935052871704,0.006487673614174128,32.32511520385742,0.09857364743947983,42.76806640625,0.0028887856751680374,23.596933364868164
220,9.264328125657977,sad,0.9830939769744873,0.007010975852608681,48.597896575927734,0.01219659112393856,49.7674560546875,0.00034301538835279644,0.6320018172264099
225,9.47488103760475,fear,3.0056726932525635,0.05460524186491966,70.74559783935547,0.4778808057308197,23.328832626342773,0.2551359236240387,2.1322813034057617
230,9.685433949551522,fear,0.18139825761318207,1.7119493350037374e-05,68.1374282836914,9.055046393768862e-05,31.554716110229492,0.0019487711833789945,0.12440596520900726
235,9.895986861498294,fear,0.1813291758298874,0.0006040879525244236,86.82262420654297,0.000430826359661296,12.604166984558105,0.0004703753220383078,0.39038074016571045
240,10.106539773445066,neutral,16.48572540283203,0.03601571545004845,0.08058541268110275,0.02236010693013668,36.891143798828125,0.00043043523328378797,46.483734130859375
245,10.31709268539184,neutral,29.327665328979492,0.26487940549850464,1.9149129390716553,0.0014753842260688543,19.646087646484375,0.09287656843662262,48.752105712890625
250,10.527645597338612,angry,55.728328704833984,2.7217633724212646,35.11005783081055,1.5417689085006714,0.791472852230072,0.0012627380201593041,4.105349540710449
255,10.738198509285384,fear,4.436914920806885,0.022317059338092804,35.70503616333008,0.01145690307021141,27.01647186279297,0.04986904561519623,32.757938385009766
260,10.948751421232156,fear,2.421205997467041,0.03706216812133789,90.71214294433594,0.08320645242929459,3.5181150436401367,0.6336303949356079,2.594632148742676
265,11.159304333178929,fear,7.823087215423584,7.953461170196533,67.33065795898438,2.5300850868225098,9.7320556640625,0.6508200168609619,3.9798293113708496
270,11.3698572451257,fear,24.35980796813965,9.55617904663086,33.01062774658203,0.23848707973957062,17.0579776763916,4.978908061981201,10.79801082611084
275,11.580410157072473,happy,8.4244265963207e-07,5.118626453004841e-15,4.48788384233012e-09,99.83745574951172,6.349055752252752e-07,0.0005032410845160484,0.16203927993774414
