frame,timestamp_sec,emotion,emotions_detail
0,0.0,sad,"{""angry"": 2.3094301223754883, ""disgust"": 0.005079246591776609, ""fear"": 34.42109680175781, ""happy"": 0.38450896739959717, ""sad"": 46.78655242919922, ""surprise"": 1.2482092870413908e-07, ""neutral"": 16.093332290649414}"
5,0.21055291194677223,fear,"{""angry"": 7.6076483726501465, ""disgust"": 0.017497746273875237, ""fear"": 45.39897918701172, ""happy"": 3.2315447330474854, ""sad"": 34.05543518066406, ""surprise"": 1.7757275827534613e-07, ""neutral"": 9.68889331817627}"
10,0.42110582389354445,angry,"{""angry"": 60.971927642822266, ""disgust"": 0.004462988581508398, ""fear"": 9.743796348571777, ""happy"": 3.8739781379699707, ""sad"": 13.908089637756348, ""surprise"": 1.7111284478232847e-06, ""neutral"": 11.497739791870117}"
15,0.6316587358403166,angry,"{""angry"": 81.37647247314453, ""disgust"": 0.002408633241429925, ""fear"": 2.4222724437713623, ""happy"": 6.635949611663818, ""sad"": 2.4037857055664062, ""surprise"": 3.157899527650443e-06, ""neutral"": 7.159110069274902}"
20,0.8422116477870889,angry,"{""angry"": 47.878536224365234, ""disgust"": 0.014793207868933678, ""fear"": 7.578591346740723, ""happy"": 4.08192253112793, ""sad"": 20.466310501098633, ""surprise"": 1.6466376109747216e-05, ""neutral"": 19.979825973510742}"
25,1.052764559733861,sad,"{""angry"": 27.915325164794922, ""disgust"": 0.024655606597661972, ""fear"": 7.635935306549072, ""happy"": 7.8680195808410645, ""sad"": 34.446041107177734, ""surprise"": 1.2713508112938143e-05, ""neutral"": 22.110008239746094}"
30,1.2633174716806332,happy,"{""angry"": 2.0591890811920166, ""disgust"": 0.04291989281773567, ""fear"": 3.1637120246887207, ""happy"": 85.93354034423828, ""sad"": 8.27331256866455, ""surprise"": 5.359243573366257e-07, ""neutral"": 0.5273206830024719}"
35,1.4738703836274056,happy,"{""angry"": 0.017191093415021896, ""disgust"": 0.00010222714627161622, ""fear"": 0.02565249614417553, ""happy"": 99.84574127197266, ""sad"": 0.11124514788389206, ""surprise"": 4.185845892124007e-09, ""neutral"": 6.184296944411471e-05}"
40,1.6844232955741778,happy,"{""angry"": 0.0008539067348465323, ""disgust"": 6.516650500998367e-06, ""fear"": 0.0009908165084198117, ""happy"": 99.98527526855469, ""sad"": 0.012862100265920162, ""surprise"": 1.3185219582823038e-10, ""neutral"": 6.38050960333203e-06}"
45,1.89497620752095,happy,"{""angry"": 0.013548455201089382, ""disgust"": 9.376281923323404e-06, ""fear"": 4.5423945266520604e-05, ""happy"": 99.98603820800781, ""sad"": 9.090504318010062e-05, ""surprise"": 4.527272168264318e-10, ""neutral"": 0.00027710001450031996}"
50,2.105529119467722,happy,"{""angry"": 5.540769100189209, ""disgust"": 0.0010797485010698438, ""fear"": 0.02056117169559002, ""happy"": 94.42164611816406, ""sad"": 0.002115577692165971, ""surprise"": 8.462927070240767e-08, ""neutral"": 0.013820555992424488}"
55,2.3160820314144943,angry,"{""angry"": 98.08917999267578, ""disgust"": 6.767862032575067e-06, ""fear"": 0.017059825360774994, ""happy"": 0.7791247963905334, ""sad"": 0.018177155405282974, ""surprise"": 1.3697478607355151e-05, ""neutral"": 1.096439242362976}"
60,2.5266349433612665,neutral,"{""angry"": 0.28721097111701965, ""disgust"": 2.5554605599609204e-05, ""fear"": 0.04522860050201416, ""happy"": 0.014504204504191875, ""sad"": 0.00153350830078125, ""surprise"": 0.01752476952970028, ""neutral"": 99.63396453857422}"
